x,y,z
-8.118,-23.071,-13.184
-3.418,-7.446,-6.042
-0.427,-2.258,-1.465
-1.404,-2.197,-0.244
0.366,2.747,-4.7
-3.357,-17.09,-23.193
0.183,-8.301,3.235
-0.854,-1.282,2.869
0.0,-5.859,6.47
1.404,-1.282,-0.061
-3.052,-2.441,-2.136
-0.244,-0.183,5.127
1.099,-0.977,-0.366
-0.671,0.244,-1.831
0.977,-2.136,-1.587
-2.258,-5.371,1.343
0.977,3.113,1.648
4.7,1.77,-15.259
-4.15,-1.038,-5.249
1.77,-1.038,-5.127
1.16,-0.732,0.732
-0.488,-1.038,1.16
-0.244,-0.793,1.038
1.343,-0.488,0.366
9.277,27.344,-3.296
1.16,-2.197,5.127
0.0,0.0,-0.427
-0.122,-2.136,-1.709
0.916,-0.549,0.0
0.305,-3.296,-0.366
0.427,-0.732,-1.038
0.671,0.122,-0.916
4.456,4.028,-4.15
7.385,5.432,-3.174
12.451,28.687,-5.005
3.845,10.254,-16.785
7.446,14.709,-23.438
-8.606,-9.644,-15.381
-3.784,-16.113,9.827
11.475,4.089,-10.803
-11.902,-7.507,19.104
-1.526,-1.038,-0.916
1.831,9.399,1.953
-1.221,-0.793,-1.831
4.883,-8.789,10.986
-2.502,19.287,-18.555
-7.935,-48.096,17.029
1.282,16.663,-1.404
-1.16,-1.648,-0.305
12.756,-7.263,-2.38
19.348,22.217,16.602
-9.399,-13.062,-5.493
9.46,3.54,-3.784
-3.418,-0.183,-4.028
1.099,-10.071,6.775
-2.625,-4.761,-1.526
-1.404,0.854,-3.601
-1.648,0.793,-0.366
-2.686,-3.418,-8.301
-0.366,1.648,0.366
-0.366,-0.244,-1.038
0.732,-0.305,0.366
-0.671,-0.366,-0.854
0.61,-0.61,2.136
0.732,-3.479,-0.366
-0.244,-0.122,-0.61
0.122,-0.183,0.671
1.099,-0.183,-0.244
-0.977,-0.488,-2.014
0.0,0.122,-1.221
-1.587,-5.371,1.16
0.671,-1.16,-0.793
0.183,-0.549,-2.747
-1.099,-3.235,3.418
-2.258,-9.338,-2.991
-0.916,-5.859,-4.639
0.854,-3.357,1.343
-1.526,3.845,-0.183
0.732,7.385,-3.601
-20.203,8.301,-34.18
6.653,-6.042,9.399
-25.452,40.955,22.583
94.482,-199.524,-55.908
5.371,-2.502,6.287
-2.441,-0.61,-4.761
10.498,1.587,-3.784
-4.517,-5.493,2.991
1.648,6.287,-0.366
-1.831,2.869,12.39
-11.475,21.729,14.099
-1.587,-2.136,0.488
158.875,-22.278,-166.077
-15.32,-20.508,-34.79
15.625,29.846,-24.536
-33.081,6.409,-25.024
19.104,23.865,-31.067
-19.409,-8.484,27.771
28.564,0.793,-8.789
-1.099,13.245,-26.367
1.77,-0.671,13.794
3.113,-0.488,0.122
-12.512,1.831,-13.428
-43.152,0.427,-23.865
-7.874,-7.996,-6.409
10.132,-3.113,1.587
41.077,-19.409,-11.902
-0.488,6.958,10.803
-39.917,-13.55,19.836
-2.258,0.305,-0.977
8.728,-3.235,-0.854
-1.404,-0.061,-1.404
-0.549,-0.793,-0.061
5.493,2.441,7.69
1.709,-0.122,7.69
5.798,-6.958,1.77
15.991,4.028,-3.174
-5.737,2.686,-1.892
4.7,-9.644,-1.221
0.732,-1.221,1.404
0.061,12.634,1.709
0.0,-1.831,-2.686
1.709,0.305,1.587
-2.258,4.822,-2.563
4.822,-11.414,11.169
-3.418,0.671,-1.77
-15.686,-22.644,12.512
-110.046,-12.146,-6.47
1.343,-3.052,-0.427
-0.671,-11.169,2.319
1.221,-5.188,5.188
-0.549,-8.179,2.38
-18.127,3.296,0.488
86.853,51.941,12.085
3.967,-40.039,18.86
-7.019,-18.005,8.545
-22.339,-15.991,-0.244
-8.118,-13.489,1.709
-11.414,-14.404,11.536
7.263,6.775,3.174
2.319,4.089,-0.366
5.249,2.686,10.559
5.737,20.081,-14.709
17.883,15.32,-9.705
22.644,-10.315,10.437
3.906,26.367,-6.104
11.719,2.014,9.033
23.315,10.254,16.602
27.527,30.64,1.709
17.456,35.706,-9.766
14.282,33.081,-15.32
1.709,33.813,-17.09
9.521,30.273,-21.973
15.686,23.56,-15.381
14.709,37.415,-10.437
7.08,16.846,-5.493
-9.766,-17.334,7.69
-17.639,-18.555,-2.991
-16.357,-41.321,0.671
7.202,26.001,-22.278
12.817,30.212,-14.526
6.775,16.968,-8.179
-2.441,0.671,2.93
-23.987,-16.174,-0.061
-13.855,-34.363,6.287
4.395,16.602,-13.062
-4.089,-9.644,-2.441
-8.057,-10.559,0.793
-10.986,-9.338,3.967
10.986,16.296,14.832
9.949,21.423,-10.193
2.075,36.255,-28.564
15.686,-2.563,16.174
-16.785,-21.362,6.592
7.812,4.089,0.427
4.15,6.042,-3.235
0.488,1.282,-8.362
-8.728,-7.69,-12.451
-5.737,-6.592,-0.122
7.385,4.395,6.104
5.005,9.949,-6.592
13.245,28.076,3.845
14.526,32.104,-19.531
4.578,7.202,-4.089
-1.648,-1.16,0.061
1.648,-3.845,1.953
7.141,5.615,4.822
0.61,-5.127,1.831
-2.625,-1.343,-3.601
-2.747,-2.93,-1.465
7.629,-0.427,3.052
0.183,1.16,1.16
-0.305,-1.648,0.0
-0.671,-2.197,1.099
0.549,-0.61,-0.305
0.427,-0.488,-0.122
1.648,-6.165,4.883
-4.333,12.756,-5.31
-3.601,51.575,-28.564
4.944,-0.366,31.006
0.916,-18.86,-14.587
14.526,39.612,-8.789
19.165,30.334,-13.672
21.973,-122.62,7.629
9.033,29.358,-20.386
-14.648,-13.245,3.723
-11.719,-11.108,3.479
3.296,21.301,5.981
6.165,-26.794,19.958
-13.0,-39.856,-11.292
-50.232,-34.424,-5.493
15.747,-6.592,7.385
-4.578,-24.902,-0.488
-1.77,-11.292,8.972
-6.104,-21.24,1.16
0.061,-21.729,-0.061
-4.089,26.978,-4.15
13.428,48.279,-9.338
-0.732,0.793,3.113
-24.292,11.047,2.747
-17.334,8.301,-17.578
18.494,-28.748,4.761
16.357,30.701,-8.789
-5.554,-23.193,8.911
11.719,-19.714,4.333
-5.493,-15.503,3.54
-19.043,-31.372,4.272
13.855,-6.47,-3.723
1.16,25.635,-8.179
23.438,31.677,9.583
-4.395,-14.832,8.423
-35.217,-27.039,19.47
17.395,16.296,-0.122
-17.7,-30.273,-7.202
24.78,23.438,-4.883
1.099,1.404,-9.644
-1.831,-3.662,0.671
-0.549,2.625,-0.671
3.296,2.441,3.784
0.854,-4.883,0.0
-2.625,0.671,-5.31
-7.446,18.372,-14.099
-9.033,-21.606,-3.174
7.202,8.423,-4.15
1.404,3.845,-4.944
3.113,7.69,-3.052
-4.761,-13.123,5.371
-0.305,-6.042,-4.15
-1.282,-1.709,-3.479
5.31,5.676,2.563
-5.737,-19.897,8.301
-1.343,-6.409,-3.967
-19.47,-12.39,7.996
9.216,14.954,0.61
6.775,16.724,-10.925
22.156,7.69,1.77
-0.244,1.892,-0.488
0.0,-0.244,1.465
2.441,-0.671,2.38
-8.789,43.213,-8.24
10.376,15.198,-5.31
5.859,-83.313,28.625
-6.531,-5.859,3.052
-8.606,-5.31,-2.625
13.184,10.559,-2.502
14.893,7.812,5.92
-2.563,-10.315,6.653
-6.653,41.87,-19.714
-9.094,-14.954,0.122
19.592,18.066,-3.967
12.756,20.874,-5.737
-2.197,2.38,-6.531
-2.319,-15.503,12.207
0.0,-1.099,0.427
-1.038,-0.366,-1.526
-1.404,-2.869,-2.625
0.916,-2.747,-0.061
-1.343,-1.953,-1.77
-0.977,0.916,-0.366
-4.395,-3.723,-3.784
9.033,-21.667,15.503
32.776,-46.448,26.794
-1.038,1.892,-1.709
-33.386,-17.029,21.362
-0.488,68.115,11.719
19.287,50.476,0.732
-1.038,0.305,1.465
4.089,-5.615,-19.775
-21.606,-17.09,9.521
11.902,-36.011,-1.221
-9.888,27.588,-6.104
-5.005,2.014,5.493
-5.981,80.505,-11.475
-9.094,2.197,-6.958
-7.812,18.311,9.888
-4.333,23.376,-2.014
61.34,-146.057,29.663
-21.362,84.29,13.0
20.325,0.488,-5.981
-24.414,30.518,-10.071
9.705,-43.457,21.851
-24.292,-43.335,9.888
21.545,164.49,-20.386
-5.005,-17.273,-3.723
1.953,77.637,-7.202
0.549,-8.118,-1.831
33.447,88.44,-34.607
52.307,80.139,-42.175
-35.461,-49.561,5.432
36.926,-13.977,-26.062
-3.662,4.944,-5.432
-1.648,2.563,-3.357
27.283,-31.006,13.245
8.789,-70.068,60.12
-6.592,-60.12,8.85
-12.329,-5.188,9.277
-44.617,-34.363,111.45
-112.061,-58.96,68.97
14.771,-82.397,47.363
46.387,69.153,-52.795
12.817,-110.168,53.894
-60.608,-62.744,-17.395
-6.47,-94.91,70.496
-271.24,-70.74,-15.076
65.125,99.609,6.47
-35.706,-107.178,27.283
20.752,24.597,-1.709
28.137,-386.169,167.297
-1.343,0.305,-16.602
-44.189,-57.373,37.781
-45.898,-140.564,57.617
