timestamp,x,y,z
632118,-32.04,16.97,-43.4
632221,-66.22,14.04,-10.56
632324,-40.71,30.27,-30.88
632427,-26.73,34.55,-51.45
632529,-13.92,22.16,-42.18
632632,-23.62,34.97,-68.79
632736,-25.33,11.47,-26.37
632838,-58.41,6.59,-41.32
632941,-16.6,11.41,-57.5
633044,7.45,45.29,-58.96
633146,10.56,-6.29,-42.05
633250,-6.9,-47.97,-20.08
633353,17.21,-81.91,52.06
633456,27.47,-87.71,9.28
633559,18.01,-30.58,-18.37
633663,5.98,-33.2,4.27
633766,0.98,11.54,-3.85
633869,-11.11,-7.39,-4.03
633973,-13.61,5.13,3.3
634076,-10.31,18.68,3.72
634179,-14.65,19.47,-10.8
634282,-7.69,6.1,-0.67
634385,-6.65,9.03,-0.49
634487,-5.07,8.24,-2.14
634591,4.33,10.38,-7.57
634694,1.89,3.3,-1.77
634796,9.09,6.65,1.95
634899,9.4,14.4,5.62
635002,-16.36,11.11,-11.78
635105,-19.35,5.74,-7.87
635208,-16.3,18.55,-15.26
635311,-11.29,27.28,-40.04
635414,-16.17,19.23,-16.36
635517,-12.76,9.77,-13.12
635620,-1.59,-5.8,-18.55
635723,-4.58,-5.98,-11.6
635826,0.98,13.06,-18.25
635930,-10.44,-0.31,-4.46
636033,5.49,4.7,-20.69
636136,-4.27,33.33,-35.52
636239,-18.19,33.63,-19.04
636342,-10.99,13.0,-15.32
636445,-11.35,6.23,-6.04
636548,0.61,4.94,-8.54
636651,-5.19,-5.13,-0.37
636754,-5.25,2.44,-7.51
636857,1.77,-3.42,-6.41
636961,2.5,-3.11,1.46
637063,3.97,-2.56,-0.49
637166,2.56,-0.85,-3.05
637270,1.95,-2.62,1.46
637373,3.3,-5.07,6.59
637476,2.38,-8.91,5.62
637579,-2.81,-31.19,24.17
637682,1.1,-55.11,34.61
637786,25.82,-53.83,20.63
637889,22.4,-52.0,59.88
637992,-3.66,-47.3,55.42
638096,-13.49,-22.09,43.21
638199,22.16,0.0,26.12
638302,87.04,28.14,16.72
638405,58.35,17.4,15.75
638508,24.35,4.7,32.41
638611,26.55,46.75,5.25
638714,-5.37,26.67,1.22
638817,-37.48,25.45,22.52
638920,-22.52,5.98,43.4
639024,-130.0,-17.64,91.98
639126,44.31,-9.52,130.37
639229,21.06,-50.11,120.3
639332,140.5,-6.71,88.99
639434,136.23,11.6,20.32
639537,133.97,27.34,0.37
639641,75.07,11.72,-62.68
639745,103.58,20.2,-37.48
639848,34.18,1.53,-21.73
639950,-141.05,-70.86,33.51
640054,-75.81,-72.69,11.9
640157,-15.69,-52.19,7.75
640260,-25.15,-15.63,6.47
640363,-12.39,-3.05,-0.49
640467,-2.38,-0.85,-0.24
640570,-4.09,-2.32,-0.18
640674,-3.36,-3.66,-0.06
640777,-1.04,-3.6,-0.24
640879,-2.26,-2.62,-0.18
640982,-3.05,-1.95,-0.31
641084,-0.49,-1.1,-0.31
641187,-0.92,-0.85,-0.24
641290,-0.12,-0.49,-0.24
641392,-1.04,-0.85,-0.18
641495,-0.85,-0.61,-0.31
641598,-0.12,-0.61,-0.24
641701,-0.79,-0.98,-0.24
641804,-0.24,-0.49,-0.24
641907,-0.18,-0.49,-0.18
642010,-0.61,-0.55,-0.24
642112,-0.55,-0.55,-0.18
642215,0.0,-0.43,-0.18
642317,-0.61,-0.55,-0.24
642419,-0.12,-0.43,-0.18
642522,-0.18,-0.43,-0.18
642624,-0.06,-0.43,-0.24
642726,-0.12,-0.49,-0.24
642829,-0.18,-0.49,-0.24
642931,0.06,-0.43,-0.24
643033,0.0,-0.49,-0.24
643135,0.12,-0.43,-0.24
643238,0.0,-0.49,-0.24
643340,-1.83,-0.73,-0.31
643442,0.12,-0.43,-0.24
643545,0.24,-0.49,-0.24
643647,0.49,-0.31,-0.18
643749,-0.73,-0.55,-0.24
643852,-0.06,-0.43,-0.24
643954,0.06,-0.43,-0.24
644056,-0.12,-0.43,-0.18
644159,0.31,-0.43,-0.18
644261,0.18,-0.43,-0.24
644363,-0.06,-0.43,-0.24
644465,0.0,-0.43,-0.24
644568,0.12,-0.37,-0.24
644670,-0.18,-0.49,-0.18
644773,0.06,-0.43,-0.24
644875,0.31,-0.43,-0.24
644977,0.06,-0.37,-0.18
645079,-0.06,-0.43,-0.24
645182,0.55,-0.37,-0.18
645284,0.24,-0.37,-0.24
645386,0.12,-0.43,-0.18
645488,-0.18,-0.49,-0.24
645591,-0.92,-0.37,-0.18
645693,0.12,-0.43,-0.24
645796,0.18,-0.37,-0.18
645899,0.49,-0.31,-0.24
646001,-0.06,-0.43,-0.18
646103,0.18,-0.43,-0.24
646205,0.06,-0.43,-0.24
646308,-0.24,-0.49,-0.24
646410,0.18,-0.37,-0.24
646512,0.18,-0.43,-0.18
646614,-0.06,-0.49,-0.24
646717,-0.06,-0.43,-0.18
646819,-0.12,-0.43,-0.24
646921,0.12,-0.43,-0.18
647024,0.06,-0.43,-0.24
647126,0.24,-0.37,-0.18
647229,0.06,-0.49,-0.24
647331,0.12,-0.43,-0.24
647434,0.49,-0.37,-0.24
647536,0.12,-0.37,-0.24
647638,-0.12,-0.49,-0.24
647741,-0.12,-0.43,-0.24
647843,0.18,-0.37,-0.24
647946,-0.24,-0.49,-0.24
648048,0.06,-0.43,-0.18
648151,0.12,-0.37,-0.24
648253,-0.24,-0.43,-0.24
648355,0.06,-0.43,-0.24
648458,0.24,-0.37,-0.24
648560,-0.06,-0.43,-0.18
648662,0.24,-0.37,-0.24
648765,0.18,-0.37,-0.18
648867,0.12,-0.43,-0.18
648970,0.43,-0.43,-0.18
649073,-0.37,-0.49,-0.24
649175,0.06,-0.43,-0.24
649277,-0.18,-0.49,-0.24
649380,0.06,-0.43,-0.18
649482,-0.18,-0.43,-0.18
649584,0.31,-0.37,-0.18
649686,0.18,-0.43,-0.24
649789,0.12,-0.43,-0.24
649891,0.31,-0.43,-0.24
649994,-0.18,-0.43,-0.18
650098,0.24,-0.43,-0.18
650202,-0.06,-0.49,-0.24
650305,0.12,-0.43,-0.24
650407,0.31,-0.37,-0.18
650510,0.06,-0.37,-0.18
650613,0.18,-0.37,-0.31
650716,0.06,-0.43,-0.24
650820,0.06,-0.43,-0.24
650924,0.24,-0.43,-0.24
651028,-0.24,-0.43,-0.43
651132,-18.31,-9.03,-2.26
651235,-13.85,-2.5,0.73
651339,0.73,0.18,0.43
651442,-1.95,-0.85,0.24
651545,-1.34,-0.61,-0.12
651650,0.73,-0.37,0.06
651753,-0.18,-0.49,-0.31
651857,0.37,-0.43,-0.12
651961,0.0,-0.43,-0.24
652065,0.12,-0.43,-0.18
652167,0.18,-0.43,-0.18
652271,0.0,-0.43,-0.31
652376,0.12,-0.43,-0.18
652479,0.24,-0.37,-0.31
652582,0.49,-0.37,-0.12
652686,0.31,-0.37,-0.31
652789,0.12,-0.43,-0.18
652892,-0.18,-0.49,-0.24
652995,0.37,-0.43,-0.24
653098,0.06,-0.43,-0.24
653200,0.18,-0.43,-0.24
653304,0.18,-0.43,-0.24
653406,0.06,-0.43,-0.24
653509,0.12,-0.43,-0.18
653613,0.06,-0.43,-0.18
653716,0.12,-0.43,-0.18
653820,0.06,-0.43,-0.24
653924,0.12,-0.37,-0.24
654027,0.0,-0.43,-0.24
654129,0.0,-0.43,-0.24
654233,0.12,-0.37,-0.24
654336,0.06,-0.43,-0.24
654440,0.12,-0.43,-0.24
654543,0.12,-0.43,-0.18
654647,0.06,-0.43,-0.24
654750,0.12,-0.43,-0.18
654853,-0.06,-0.43,-0.24
654956,0.0,-0.43,-0.18
655060,0.18,-0.43,-0.18
655163,0.12,-0.43,-0.24
655267,0.12,-0.43,-0.24
655370,0.18,-0.37,-0.24
655474,0.12,-0.43,-0.24
655576,0.12,-0.43,-0.18
655678,0.12,-0.37,-0.18
